tripinfo_id;tripinfo_depart;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_departDelay;tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_duration;tripinfo_routeLength;tripinfo_waitingTime;tripinfo_waitingCount;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_rerouteNo;tripinfo_devices;tripinfo_vType;tripinfo_speedFactor;tripinfo_vaporized
wu_ba_to_ko.5;219.00;-230845886_0;5.10;0.00;1.02;514.00;972103805_0;116.86;11.14;295.00;2114.29;55.00;3;0.00;107.69;0;tripinfo_wu_ba_to_ko.5;car;1.03;
wu_ba_to_gj.7;343.00;-230845886_0;5.10;0.00;4.83;515.00;23527526_0;253.75;13.02;172.00;1755.68;0.00;0;0.00;38.67;0;tripinfo_wu_ba_to_gj.7;car;1.19;
wu_ba_to_ko.6;223.00;-230845886_0;5.10;0.00;0.64;517.00;972103805_0;116.86;9.97;294.00;2114.29;48.00;2;0.00;99.13;0;tripinfo_wu_ba_to_ko.6;car;0.99;
wu_ba_to_od.5;293.00;-230845886_0;5.10;0.00;0.79;518.00;23156030#6_1;109.07;12.18;225.00;2315.50;0.00;0;0.00;41.88;0;tripinfo_wu_ba_to_od.5;car;1.15;
wu_os_to_od.3;391.00;-45494495_0;5.10;0.00;0.07;518.00;23156030#6_0;109.07;10.32;127.00;865.51;33.00;1;0.00;44.62;0;tripinfo_wu_os_to_od.3;car;0.95;
wu_ba_to_ko.7;230.00;-230845886_0;5.10;0.00;0.39;519.00;972103805_0;116.86;11.92;289.00;2114.29;48.00;2;0.00;110.29;0;tripinfo_wu_ba_to_ko.7;car;1.08;
wu_os_to_od.5;411.00;-45494495_0;5.10;0.00;0.55;520.00;23156030#6_0;109.07;9.96;109.00;865.51;17.00;1;0.00;30.43;0;tripinfo_wu_os_to_od.5;car;0.99;
wu_ba_to_ko.8;236.00;-230845886_0;5.10;0.00;0.32;521.00;972103805_0;116.86;11.31;285.00;2114.29;47.00;3;0.00;109.15;0;tripinfo_wu_ba_to_ko.8;car;1.10;
wu_as_to_ko.14;383.00;23687583_0;5.10;0.00;0.93;527.00;972103805_0;116.86;8.16;144.00;1102.39;0.00;0;0.00;15.73;0;tripinfo_wu_as_to_ko.14;car;0.77;
wu_ba_to_ko.9;272.00;-230845886_0;5.10;0.00;0.24;529.00;972103805_0;116.86;11.20;257.00;2114.29;41.00;2;0.00;85.05;0;tripinfo_wu_ba_to_ko.9;car;1.12;
wu_as_to_od.1;303.00;23687583_0;5.10;0.00;0.98;531.00;23156030#6_0;109.07;9.89;228.00;2357.31;0.00;0;0.00;16.88;0;tripinfo_wu_as_to_od.1;car;1.01;
